Naam;Aanbod;Keuken;Dieet;Take-away opties;Tekstveld;Adres;Postcode;Gemeente;Telefoonnummer;Link;Image name;Image URL;E-mail;Column 15;Column 16;Column 17;Omschrijving voor paasactie;Link;image_path
Frituur Danny;"Frietjes;Zomerwedstrijd";Belgisch;;;Verse frietjes, schotels, snack burgers.;Brugsesteenweg 328;9000;Gent;093304243;;FrituurDanny.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/aaa399da162c966edc807d03d53fe022;;;;;;;https://stad.gent/sites/default/files/koop_lokaal/FrituurDanny.jpg
Gado Gado;"Wereldkeuken;Gezond";Indonesisch;;;Indonesische gerechten;Vrouwebroersstraat 21;9000;Gent;0494077250;https://gado-gado.gent;GadoGado.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/9cc03f7f8b065eb57d3943eda9ef9749;;;;;;https://gado-gado.gent;https://stad.gent/sites/default/files/koop_lokaal/GadoGado.jpg
GAST;"Gezond;Lunch;Ontbijt en brunch;Wereldkeuken;Zoet";"Italiaans;Libanees;Mediterraans;Midden-Oosters;Turks";"Glutenvrij;Veganistisch;Vegetarisch";;"GAST
deli . microbakkerij . catering";Jef Vandermeulenstraat 23a;9050;Gentbrugge;0486205877;www.gastgent.be;GastGent.jpg;;info@gastgent.be;0486205877;;;;www.gastgent.be;https://stad.gent/sites/default/files/webform/horeca/11468/gast_februari_lowresf-54.jpg
Gillis;Gastronomisch;"Belgisch;Frans";Vegetarisch;;"PUUR. VLEES. GENIETEN
 Gillis is een restaurant dat ondertussen bekend staat om zijn gerijpt vlees van verschillende Europese rassen. Gewoontes creëren en onze huisstijl aan onze klanten meegeven, dat is ons doel.";HOOGSTRAAT 23;9000;Gent;09 391 66 11;http://www.gillisgent.be;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/36d41db7ce66b88a5455dd952d6dde8c;bram@gillisgent.be;0468/27 00 78;;;;http://www.gillisgent.be;https://stad.gent/sites/default/files/webform/horeca/7136/BRAM%20EN%20OLIVIER.jpg
Goya;"Dranken;Ontbijt en brunch;Zoet";"Amerikaans;Belgisch";"Glutenvrij;Veganistisch;Vegetarisch";;Specialty coffee and homemade Argentinian pastries;Verlorenkost 5;9000;Gent;0470624639;www.goyacoffee.be;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/e0d7669d763ef9fccc7c508a41e5cbb9;info@goyacoffee.be;470624639;;;;www.goyacoffee.be;https://stad.gent/sites/default/files/webform/horeca/7947/131297876_208470184252630_5858090375049453980_n.jpg
Gulzig;"Brasserie keuken;Noedels;Pasta";"Aziatisch;Belgisch;Italiaans";;;Internationale streetfood;Baudelokaai 13/001;9000;Gent;093300860;http://www.gulzig.be/;Gulzig.jpeg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/aeb7baf61e177baccb138503b23bfa67;info@eethaven.be;;;;;http://www.gulzig.be/;https://stad.gent/sites/default/files/koop_lokaal/Gulzig.jpeg
Hola Food;"Gezond;Lunch;Ontbijt en brunch";Belgisch;;;Heerlijke verse warme gerechten op donderdag en vrijdag en brunchboxen op zondag;Dok Noord 7;9000;Gent;0492315885;https://www.holafood.be/;HolaFood.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/a11e37de1465e8f190936041070cfb4a;;;;;;https://www.holafood.be/;https://stad.gent/sites/default/files/koop_lokaal/HolaFood.jpg
Homblé;"Dranken;Lunch";Belgisch;;;Drankjes en dagschotels met groenten en vlees rechtstreeks van bij de boer. Elke dag andere vegetarische, vegan en vlees opties.;Papegaaistraat 68 -70;9000;Gent;0498212814;http://www.homble.cooking/;Homblé.jpeg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/e581eb7b8de6015a020a1ba2da41f6dd;;;;;;http://www.homble.cooking/;https://stad.gent/sites/default/files/koop_lokaal/Homblé.jpeg
IJsster bv;"Zoet;Zomerwedstrijd;Zomerpas De Lijn;";Belgisch;;;Ambachtelijk bereid roomijs, sorbets en ijsdesserts in eigen atelier op basis van ingrediënten uit de kortst mogelijke keten.;Rijsenbergstraat 8;9000;Gent;093775925;https://www.ijssteraanhuis.gent/;Ijssterbv.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/6b7cfa7e3c24a68bee3242fd33746dd4;;;;;;https://www.ijssteraanhuis.gent/;https://stad.gent/sites/default/files/koop_lokaal/Ijssterbv.jpg
Il Mezzogiorno;"Pasta;Pizza";Italiaans;;;Siciliaanse specialiteiten: voorgerecht, pizza of dessert;Baudelokaai 17;9000;Gent;092243329;http://www.ilmezzogiorno.be/;IlMezzogiorno.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/31d2fa7f4c2c9611485b2597848200b4;;;;;;http://www.ilmezzogiorno.be/;https://stad.gent/sites/default/files/koop_lokaal/IlMezzogiorno.jpg
Indian Curry House;"Wereldkeuken;Zomerwedstrijd;Kindvriendelijk";Indiaas;Vegetarisch;;"In Indian Curry House kan u de lekkerste Indische gerechten ophalen.
Wij serveren zowel Vlees, Vis, en Vegetarische maaltijden. Indien gewenst kan u ook onze dranken waaronder Europese of Indische wijn en bieren bijbestellen.";Sint Michielstraat 10;9000;Gent;0496675409;http://www.indiancurryhouse.be;IndianCurryHouse.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/5551f1e8bdbf40d4e1ad13f04f1b5ec7;indiancurryhouse@hotmail.com;0496675409;;;;http://www.indiancurryhouse.be;https://stad.gent/sites/default/files/webform/horeca/11273/IMG_9962.JPG
Joan;"Pasta;Tapas";Italiaans;"Glutenvrij;Vegetarisch";;Joan is een klein charmant restaurant, momenteel open voor take away elke vrijdag & zaterdag (17h tot 20h). Onze food menu is een ode aan hetgeen waar we zelf zot van zijn: Italiaanse sharing dishes & overheerlijke pasta, alles vers & 100% homemade.;Annonciadenstraat 26;9000;Gent;0493928353;https://www.joan.gent/take-away-menu;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/9ebb9b3b8545e49fbc6a35a7612ad8fc;info@joan.gent;493928353;;;;https://www.joan.gent/take-away-menu;https://stad.gent/sites/default/files/webform/horeca/7064/image3.jpg
jøm;"Ontbijt en brunch;Lunch";Belgisch;;;Take away brunch en unieke foodpakketten met liefde voor het product.;Voordries 22;9050;Gentbrugge;0472758582;https://www.jommiefood.com/;jøm.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/99c9d9788899090c84cb24ccccdad593;;;;;;https://www.jommiefood.com/;https://stad.gent/sites/default/files/koop_lokaal/jøm.jpg
Kaffee Mokke;"Lunch;Ontbijt en brunch;Zoet";Belgisch;;;Ontbijt, soep, belegde broodjes, quiches, gebak, enz.;Robert rinskopflaan 1;9050;Gentbrugge;092323479;https://www.kaffeemokke.be/;KaffeeMokke.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/7beb7758cb4b71e855092dc8071ed747;;;;;;https://www.kaffeemokke.be/;https://stad.gent/sites/default/files/koop_lokaal/KaffeeMokke.jpg
Keizershof;"Brasserie keuken;Kindvriendelijk";Belgisch;;;Grote brasserie, gelegen in een oud herenhuis met zowel binnen- als buitenterras.;Vrijdagmarkt 47;9000;Gent;09 223 44 46;https://keizershof.net/;keizershof.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/5b39c8a210ffbd18a54ed542cfb6e695;info@keizershof.net;;;;;https://keizershof.net/;https://stad.gent/sites/default/files/webform/horeca/12571/22_Brasserie%20Keizershof_overzicht1.JPG
Kingslize Premium Pizza;"Dranken;Gezond;Pasta;Pizza;Zomerpas De Lijn;";"Amerikaans;Italiaans";"Glutenvrij;Halal;Veganistisch;Vegetarisch";;De missie van Kingslize Pizza is kwaliteitspizza. Dat klinkt misschien eenvoudig, maar alles wat we doen om die missie te realiseren is dat niet bepaald. We kneden onze bodem met de hand om de smaak tot zijn recht te laten komen.;Willem Wenemaerstraat 62;9000;Gent;092292910;www.kingslizepizza.be;KingslizePremiumPizza.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/b1e65ced0b64d35da030f987cf8fb1e1;gent@kingslize.be;09 229 29 10;;;;www.kingslizepizza.be;https://stad.gent/sites/default/files/webform/horeca/9225/Kingslize.png
Kruidtuin;;Belgisch;;;Kruidtuin in huis met een drie-, vier- of vijfgangenmenu;Kortrijksesteenweg 27;9000;Gent;093119989;https://www.kruidtuingent.be/;Kruidtuin.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/315862ebed04c4485fac0fc8cb69596e;;;;;;https://www.kruidtuingent.be/;https://stad.gent/sites/default/files/koop_lokaal/Kruidtuin.jpg
Kwiek Gent;"Gezond;Lunch";Midden-Oosters;"Veganistisch;Vegetarisch";;Healthy fast food!;Kortrijksepoortstraat, 218;9000;Gent;0472216167;www.kwiek.gent;KwiekGent.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/1c1f61db5bc026ae1eef74e03ab21ec3;;;;;;www.kwiek.gent;https://stad.gent/sites/default/files/webform/horeca/8986/IMG_20210303_112907_561.jpg
La Rustica;Pizza;Italiaans;Vegetarisch;;Italiaanse pizzeria.;Sint Pietersnieuwstraat 154;9000;Gent;092330708;Rustica.be;LaRustica.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/70f917fb9b46d2977e8304cd5c2c31ec;;;;;;Rustica.be;https://stad.gent/sites/default/files/webform/horeca/9032/inbound9222735612137800841.jpg
Lokaal;"Gezond;Lunch;Zomerwedstrijd;Kindvriendelijk";Belgisch;Vegetarisch;;Tijdelijk omgebouwd tot 'Bokaal', een kruidenierszaak waar maaltijden, soep, spreads, kombucha, tafelzuurtjes,... aanbieden in glazen bokalen mét statiegeld om de afvalberg te verkleinen;Brabantdam 100;9000;Gent;0477199544;https://lokaal.gent/;LokaalBokaal.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/d1d79abd8ab92288715c4843330b7ffa;;;;;;https://lokaal.gent/;https://stad.gent/sites/default/files/koop_lokaal/LokaalBokaal.jpg
Ma&Ik;"Gezond;Lunch;Zomerwedstrijd";Belgisch;;;Soep, pasta, boterhammen, quiche en weeksuggesties;Aannemersstraat 1A;9040;Sint-Amandsberg;093914546;www.ma-en-ik.be;Ma&Ik.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/26b09eec569a360f44d850d7ac670da8;;;92799990;;;www.ma-en-ik.be;https://stad.gent/sites/default/files/koop_lokaal/Ma&Ik.jpg
Madonna;Gezond;Belgisch;"Vegetarisch;Veganistisch";;4-gangen groentenmenu, maandelijks afwisselend.;Poel 7;9000;Gent;0497161085;https://www.facebook.com/MadonnaGent/;Madonna.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/f28a36955c6224970b132f9b53dc2e51;;;;;;https://www.facebook.com/MadonnaGent/;https://stad.gent/sites/default/files/koop_lokaal/Madonna.jpg
Maison Elza;"Gastronomisch;Ontbijt en brunch;Zoet";"Belgisch;Frans";"Glutenvrij;Vegetarisch";;"Maison Elza heeft voor ieder wat wils .
ontbijt voor de vroege vogel , ons restaurant menu met kreeft , vis en vlees en voor de zoete bekken de afternoon tea . de take away mogelijkheden vind je op onze website.";Jan Breydelstraat 36;9000;Gent;09/2252128;www.maisonelza.be;MaisonElza.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/3e356d3f585a5dc68f8051e6d08c3fd8;house.of.eliot@telenet.be;09/2252128;;;;www.maisonelza.be;https://stad.gent/sites/default/files/webform/horeca/10861/maison%20elza%20%282%29_0.jpg
Maison Jeroom;"Ontbijt en brunch;Lunch;Zoet";Belgisch;;;Ontbijt, brunch, lunch, diner, taart;Dok noord 23;9000;GENT;092209951;https://www.maisonjeroom.be/;MaisonJeroom.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/e281a4c07d992f2fff5897e5fecb0f31;;;;;;https://www.maisonjeroom.be/;https://stad.gent/sites/default/files/koop_lokaal/MaisonJeroom.jpg
Maste;Gastronomisch;Belgisch;;;Wekelijks wisselend menu op vrijdag, zaterdag en zondag.;Tondelierlaan 23;9000;Gent;093869837;https://www.restaurant-maste.be/;Maste.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/b6a12096f011f9650af2a6bba83c292f;;;;;;https://www.restaurant-maste.be/;https://stad.gent/sites/default/files/koop_lokaal/Maste.jpg
Meerakker;Brasserie keuken;Belgisch;;;Paling, scampi, hertenragout;Antwerpsesteenweg 845;9040;Sint-Amandsberg;093295142;https://www.meerakker.be/;Meerakker.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/2c792eb29eaebf9173a020dcd4e17c2b;;;;;;https://www.meerakker.be/;https://stad.gent/sites/default/files/koop_lokaal/Meerakker.jpg
Mémé Gusta;"Dranken;Frietjes;Brasserie keuken;Gezond;Lunch;Kindvriendelijk";Belgisch;Vegetarisch;;Het concept van de pure, Vlaamse keuken uit grootmoeders tijd in een gezellige vintage kader.;Burgstraat 19;9000;Gent;09 398 23 93;https://www.meme-gusta.be/nl/home;memegusta.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/e5b8296d1bf426b937c92c6b707f333d;info@meme-gusta.be;;;;;https://www.meme-gusta.be/nl/home;https://stad.gent/sites/default/files/webform/horeca/12619/27_M%C3%A9m%C3%A9%20Gusta_overzicht.JPG
Mon Dada;"Gezond;Lunch;Pasta";Belgisch;;;Healthy food, salades, pasta’s en smoothies.;Voldersstraat 11a;9000;Gent;0493636126;https://mondadagent.be/;MonDada.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/95a4f9042f5fab02e55f6a6710315418;;;;;;https://mondadagent.be/;https://stad.gent/sites/default/files/koop_lokaal/MonDada.jpg
Moochie Frozen Yogurt;Zoet;"Belgisch;Amerikaans";;;Frozen yoghurt, Bubble tea, American pancakes;Klein Turkije 14;9000;Gent;0468270413;https://moochie.be/;MoochieFrozenYoghurt.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/8f9bb1451ba77d0f5f70598a3b3d75b3;;;;;;https://moochie.be/;https://stad.gent/sites/default/files/koop_lokaal/MoochieFrozenYoghurt.jpg
Moor&Moor;"Dranken;Lunch;Ontbijt en brunch";Belgisch;;;Koffie, ontbijtkoeken, muffins, boterhammen, frisdranken;Jakobijnenstraat 7;9000;Gent;0032495236983;http://www.moormoor.be/nl;Moor&Moor.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/bc3ee1572dd2d35fed1e2d78787e5851;;;;;;http://www.moormoor.be/nl;https://stad.gent/sites/default/files/koop_lokaal/Moor&Moor.jpg
Neapoli Gent;Pizza;Italiaans;;;Pizza's uit houtoven (Napolitaanse Pizza);Oudburg 41;9000;Gent;093299584;https://www.neapolisgent.be/;Neapoli.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/cde94e491780393b563a35be7184bb76;;;;;;https://www.neapolisgent.be/;https://stad.gent/sites/default/files/koop_lokaal/Neapoli.jpg
Norbe SC;"Zomerpas De Lijn;Dranken;Brasserie keuken";Belgisch;Vegetarisch;;"Snookercafé waar een hapje en drankje kan genuttigd worden
Aanwezigheid van een binnenterras en mogelijkheid om feesten te organiseren.";August Van Lokerenstraat 18;9050;Ledeberg;0475388865;https://www.scnorbe.be/;NorbeSC.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/8ccb1c70d6bafb99c36b1b3c1cfd9e08;;;;;;https://www.scnorbe.be/;https://stad.gent/sites/default/files/webform/horeca/11881/Norbe%20Embleem2.JPG
Oats Day Long;"Dranken;Gezond;Lunch;Ontbijt en brunch;Zoet;Zomerwedstrijd";Belgisch;"Glutenvrij;Veganistisch;Vegetarisch";;Oats Day Long is an organic oatmeal cafe and speciality coffee bar. Our goal is to kickstart your day with healthy, delicious and quick food. Take oat or deliver at home. Have an oatsome day!;Nederkouter 55;9000;Gent;092799990;https://www.oatsdaylong.com/;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/2ab4f13f2261fe5cf00fa5d4c03f593b;hello@oatsdaylong.com;;;;;https://www.oatsdaylong.com/;https://stad.gent/sites/default/files/webform/horeca/6862/_SR34468.jpg
ØGent;"Gezond;Lunch;Zoet";Belgisch;;;Dagverse en gezonde gerechten, van salades en wraps tot burgers en huisgemaakte gebak;Zwijnaardsesteenweg 454;9000;Gent;0477167267;http://www.ogent.be/;Ogent.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/37832fdd6a8a44d80bca4edb3441e1d9;;;;;;http://www.ogent.be/;https://communicatie-digitaal.gent.be/kooplokaal/ogent_2.jpg
OM Sushi Gent;"BBQ en grill;Sushi;Wok";Aziatisch;;;Aziatische specialiteiten zoals Sushi, Grill, Curry, Wok, Yakisoba, enz.;Jan Breydelstraat 30;9000;Gent;093115955;https://www.omgent.be/Menu;OMSushiGent.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/05bf2e647b34659a343c466ecc82ee12;;;;;;https://www.omgent.be/Menu;https://stad.gent/sites/default/files/koop_lokaal/OMSushiGent.jpg
Pakhuis;Gastronomisch;Belgisch;;;Pakhuis in a Box: dubbel menu voor 2 personen vol Pakhuisklassiekers of stel je eigen menu samen.;Schuurkenstraat 4;9000;Gent;092235555;https://www.pakhuis.be/nl/;Pakhuis.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/fcb46a43e77f207245e3792085f4150c;;;;;;https://www.pakhuis.be/nl/;https://stad.gent/sites/default/files/koop_lokaal/Pakhuis.jpg
Pane e Vino;"Pasta;Pizza;Zomerwedstrijd";Italiaans;"Glutenvrij;Vegetarisch";;Trattoria – Pizzeria Pane & Vino is al sinds 2002 een gevestigde waarde in de Foodie straat van Gent. De families Gandolfo & Longo serveren al 15 jaar heerlijke pizza’s en pasta in dit authentieke Italiaans restaurant.;Nederkouter 9/13;9000;Gent;09 224 35 54;http://pane-vino.gent/;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/eab7c928ef5eb8383c534b72da145f53;info@pane-vino.eu;09 224 35 54;;;;http://pane-vino.gent/;https://stad.gent/sites/default/files/webform/horeca/7059/125469134_10158471597544003_159753872194044976_o.jpg
Patyntje;"Dranken;Gastronomisch;Lunch;Kindvriendelijk";"Belgisch;Frans";;;"Restaurant Patyntje, dat eind de jaren twintig van vorige eeuw opende, is een begrip in Gent.
Het restaurant is gelegen in een gezellige villa in koloniale stijl waar het terras - aan de Leie - een absolute aanrader is.";Gordunakaat 91;9000;Gent;09 222 32 73;https://www.patyntje.com/;patyntje.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/9340def29acd0445aa0a61d1b17f0b6f;tim@patyntje.be;;;;;https://www.patyntje.com/;https://stad.gent/sites/default/files/webform/horeca/12547/07_Patyntje_overzicht.JPG
Peper;Wereldkeuken;Aziatisch;;;Oosters getinte gerechten;Peperstraat 55;9000;Gent;0485959947;http://www.peper.be/afhalen;Peper.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/aebc0160c9b7e1003b0e9416fbfb1f3d;;;;;;http://www.peper.be/afhalen;https://stad.gent/sites/default/files/koop_lokaal/Peper.jpg
Pietersbar;"Dranken;Brasserie keuken;Zoet;Kindvriendelijk";Belgisch;Vegetarisch;;Je bent er welkom voor een aperitief, lunch, koffie en dessert. In onze bar serveren we kwaliteitsvolle producten van lokale en duurzame organisaties met een sociale doelstelling.;Sint-Pietersplein 9;9000;Gent;0493 31 69 55;http://www.Pietersbar.be/;pietersbar.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/f4e0d54588ceba074a50de666180bf50;sien.vleeschouwers@vzwkompas.be;;;;;http://www.Pietersbar.be/;https://stad.gent/sites/default/files/webform/horeca/12721/110208323_3525534197456621_2388418714931915429_n.jpg
Restaurant Pantheon;Wereldkeuken;Grieks;;;Griekse gerechten;Annonciadenstraat 2;9000;Gent;092230200;https://pantheon.gent/;Pantheon.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/b69251b033a5680d95a773436a908bdc;;;;;;https://pantheon.gent/;https://stad.gent/sites/default/files/koop_lokaal/Pantheon.jpg
Rokkebolle;"Brunch en ontbijt;Tapas";Belgisch;;;Brunch- en aperoboxen, een wisselend aanbod aan huisgemaakte specialiteiten in food & drinks;Hoveniersstraat 37;9050;Ledeberg;0479633084;https://www.facebook.com/rokkebolle;Rokkebolle.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/b66b29989727e3fbcf01091c5525bb42;;;;;;https://www.facebook.com/rokkebolle;https://stad.gent/sites/default/files/koop_lokaal/Rokkebolle.jpg
Savarin;"Dranken;Gastronomisch;Lunch;Kindvriendelijk";Belgisch;;;Of u nu op zoek bent naar een smakelijke brunch, lunch of diner. Wij bieden u een combinatie van heerlijke streek en seizoensgebonden gerechten. Verrassend en inspirerend.;Vrijdagsmarkt 17;9000;Gent;09 233 51 66;https://www.brasserie-savarin.be/;savarin.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/49266c48995f541246c00a2e2a037a13;fo@brasserie-savarin.be;;;;;https://www.brasserie-savarin.be/;https://stad.gent/sites/default/files/webform/horeca/12667/46_Savarin_overzicht.JPG
Spazio24;"Lunch;Brasserie keuken;Tapas;Zoet";Belgisch;;;Culinaire weekendbox (Spaziobox), eenpansgerecht of ovenschotel (Menu Dolce Far Niente) en extra's zoals sweet bites, aperitivo bites, soep, wijnen, bloemen, koffie, thee,...;Wiedauwkaai 24;9000;Gent;0496341177;http://www.spazio24online.be;Spazio24.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/2d394643c54af969a580f9b7dde359da;;;;;;http://www.spazio24online.be;https://stad.gent/sites/default/files/koop_lokaal/Spazio24.jpg
Surtoe;Gastronomisch;"Belgisch;Frans";;;Voorgerechten, schaaldieren , vis, seizoensgerechten, vlees;Botermarkt 7;9000;Gent;092331393;http://www.restaurantsurtoe.be;Surtoe.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/ef9ba0ccef722bdb469bb5768fb20edb;;;;;;http://www.restaurantsurtoe.be;https://stad.gent/sites/default/files/koop_lokaal/Surtoe.jpg
T Fondueloft;"BBQ en grill;Dranken;Kindvriendelijk";Belgisch;;;Wat vroeger een oude sigarenfabriek was, werd een vijftiental jaar geleden omgetoverd tot een gezellig themarestaurant. Tot op vandaag staat 't Fondueloft nog steeds in voor een lekker en vooral gezellig etentje.;Baudelostraat 29;9000;Gent;09 223 81 00;https://www.fondueloft.be/;fondueloft.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/5a5432b25123985eb1c3d98912848262;info@fondueloft.be;;;;;https://www.fondueloft.be/;https://stad.gent/sites/default/files/webform/horeca/12655/41_t%20Fondueloft_overzicht.JPG
T Oud Clooster;"Dranken;Frietjes;Gezond;Noedels;Pasta;Kindvriendelijk";Belgisch;;;Welkom in ons gezellig, knus restaurant, vol met klooster-getinte decoratie. We serveren Belgische gerechten en elke week een nieuwe lunch- en avondsuggestie.;Zwarte Zustersstraat 5;9000;Gent;09 233 78 02;https://www.toudclooster.be/;toudclooster.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/e71b277c9526dad380025715fe67757a;info@toudclooster.be;;;;;https://www.toudclooster.be/;https://stad.gent/sites/default/files/webform/horeca/12541/1957903_738644349524437_8473626440173335893_o.jpg
Taco Santo;"Taco's;Kindvriendelijk";Mexicaans;;;Bij ‘Taco Santo’ proberen we non-stop de beste producten te zoeken, zo dicht mogelijk bij huis, om de echte mexicaanse taco's te recreëren.;Gebroeders Vandeveldestraat 3;9000;Gent;09 391 66 60;http://www.tacosanto.be/;tacosanto.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/8634dea3821fe01ac9e37f610a4e9413;gent@tacosanto.be;;;;;http://www.tacosanto.be/;https://stad.gent/sites/default/files/webform/horeca/12715/Taco_Santo_BIG_0002.jpg
Tapasbar Con TiGo;Tapas;Spaans;Vegetarisch;;;Bennesteeg 19;9000;Gent;;https://www.tapascontigo.be/;;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/f2e85e2e42814207fe98a7bb55245cc1;hola@tapascontigo.be;470913905;;;;https://www.tapascontigo.be/;https://stad.gent/sites/default/files/webform/horeca/7576/foto%20gevel.jpg
The Chocolate Home;Zoet;Belgisch;"Glutenvrij;Halal;Veganistisch;Vegetarisch";;"The Chocolate Home is gespecialiseerd in breed assortiment met unieke creaties aan ambachtelijke eerste kwaliteitspralines & chocolade en Gentse zoetige specialiteiten.
Alles wat je er vindt is met liefde en veel zorg voor jullie uitgekozen.";Meerseniersstraat 24;9000;Gent;0479739733;https://thechocolatehome.ccvshop.be/;chocolatehome.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/761089153cbaa3629d92b0ab012dbd93;thechocolatehome@outlook.be;;;;;https://thechocolatehome.ccvshop.be/;https://stad.gent/sites/default/files/webform/horeca/12733/logo.jpg
The Noodles;Noedels;Aziatisch;;;Verse handgemaakte noedels volgens het originele recept uit ChongQing met originele kruidenmix uit Sichuan province. 5 opties met een Vlaamse touch leverbaar. Proef ook onze originele matcha drinks!;Kortrijksepoortstraat, 148;9000;GENT;0477787914;http://www.thenoodles.be;TheNoodles.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/d6d3110eff2ab17bfcadb04ddf34b531;;;;;;http://www.thenoodles.be;https://stad.gent/sites/default/files/koop_lokaal/TheNoodles.jpg
Trafiek;"Dranken;Kindvriendelijk";Belgisch;;;Koffie of thee, een sapje, lekker gebak, pannenkoeken of een croque. Maar gewoon gezellig de krant lezen, even opwarmen, of een klapke komen doen kan ook.;Haspelstraat 37;9000;Gent;;http://trafiek.blogspot.com/p/koffi.html;trafiek.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/bb659f1d7776158a84893ca031e71d9f;trafiek@skynet.be;;;;;http://trafiek.blogspot.com/p/koffi.html;https://stad.gent/sites/default/files/webform/horeca/12664/45_Trafiek%20vzw_overzicht.JPG
Tuin Van Eten;"Lunch;Gezond;Zoet;Kindvriendelijk";Belgisch;"Glutenvrij;Vegetarisch";;Groentequiche en -ovenschotel, dagelijkse suggestie, taart, koffie en huisgemaakte limonade;Kortrijksesteenweg 573;9000;Gent;092455466;http://www.restauranttuinvaneten.be;TuinVanEten.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/ba7047eb0f2a937b80903cb2b8a73d82;;;;;;http://www.restauranttuinvaneten.be;https://stad.gent/sites/default/files/koop_lokaal/TuinVanEten.jpg
Uzume Sushi;Sushi;Japans;;;Sushi Restaurant;Oudburg 43;9000;GENT;092331584;https://www.uzumesushibar.be/Menu;UzumeSushi.jpg;https://data.stad.gent/api/v2/catalog/datasets/koop-lokaal-horeca/files/1d8fdf7c4b749fd343b2e27201441549;;;;;;https://www.uzumesushibar.be/Menu;https://stad.gent/sites/default/files/koop_lokaal/UzumeSushi.jpg
